category,condition,item,ref_f0_mean,synth_f0_mean,ref_f0_std,synth_f0_std,ref_f0_range,synth_f0_range,ref_dur,synth_dur
emotion,anger,ad00_0000,264.81059414949976,252.2381146873639,66.92084447905918,77.14638657765995,275.61155340755266,291.37993262930473,2.413514739229025,1.497687074829932
emotion,fear,ad00_0000,367.73919009512946,373.8275681645405,73.84358159965926,87.61347149875631,230.2736743168029,412.8978601028191,2.0894784580498866,1.6253968253968254
emotion,joy,ad00_0000,322.7522121195891,311.93562387905604,80.39424968749707,98.81129865114083,261.96096863705054,402.3282740500296,1.9940136054421769,1.486077097505669
emotion,neutral,ad00_0000,196.02501324099748,180.16627056696268,17.811940192567867,24.823183715141692,65.17724385315552,138.80857913353555,1.2140136054421768,1.2654875283446712
emotion,sadness,ad00_0000,255.36077950360692,231.76755685656153,27.84246919096239,61.05910670160431,119.87920443401822,202.41209691410995,1.999501133786848,1.4164172335600906
emotion,anger,ad00_0001,277.84683379470005,276.3452456826051,63.91785152692545,60.4653556032775,242.73706518635404,283.12566666104624,2.6280045351473924,2.426485260770975
emotion,fear,ad00_0001,359.45919653943025,343.948287841632,53.425315990018944,80.48961762994864,259.2243509605355,386.20440145795015,2.5,2.3219954648526078
emotion,joy,ad00_0001,321.8174858881032,319.1757695940019,73.80645667524128,132.15161743770082,265.56997316127723,421.21224652057515,2.407482993197279,1.9156462585034013
emotion,neutral,ad00_0001,220.6748422962713,210.2242421468699,33.20622585697969,45.756110463984605,121.5494897700377,216.15716744455239,1.8370068027210884,1.7531065759637188
emotion,sadness,ad00_0001,228.6748853175739,241.28220855249413,53.44713817912506,34.873815008186455,195.8400308987399,130.37551155286687,2.948503401360544,2.2871655328798184
emotion,anger,ad00_0002,309.3777222856448,280.9576244336773,84.19911126888945,74.75522122932811,305.26712050179924,253.45095661551164,2.0195011337868483,1.6253968253968254
emotion,fear,ad00_0002,355.1183479935743,356.7277532188409,81.08182744906952,80.83322873709028,256.31652253448135,277.17763412770864,1.6410204081632653,1.3815873015873017
emotion,joy,ad00_0002,299.9531083783139,314.80132855443827,68.17919009780127,94.85793184705996,265.4219210629178,289.2119241863751,1.6670068027210885,1.3583673469387756
emotion,neutral,ad00_0002,205.30784093258103,199.27028991677432,29.6059678650617,32.382246885520104,103.47246635870508,110.66430745262119,1.2375056689342403,1.230657596371882
emotion,sadness,ad00_0002,243.46344908006867,238.83422013358964,44.60833001493451,40.92859367662936,147.26639559468256,129.4084833249673,1.8050113378684807,1.4628571428571429
emotion,anger,ad00_0003,308.44472772053547,295.3599815139535,91.57806797895526,82.76361278720833,322.4387939395142,288.62385591218504,2.4380045351473925,1.7066666666666668
emotion,fear,ad00_0003,345.28292816175156,326.27265843959003,68.5594846387085,75.74010900772457,242.81478276652118,242.7239533911674,1.9055102040816327,1.486077097505669
emotion,joy,ad00_0003,367.4069669770147,390.72077298812167,76.69739142369497,78.91234041500593,244.9651994708247,262.1174703403912,1.9105215419501134,1.4512471655328798
emotion,neutral,ad00_0003,249.02295808594587,236.3946328442561,48.486742632701734,52.064414965317596,158.94345712563614,146.55395990778734,1.423015873015873,1.2770975056689342
emotion,sadness,ad00_0003,280.42238660155476,236.61185686344314,32.32432674307995,71.25793986467174,161.6693626736355,238.3647548556423,2.1130158730158732,1.509297052154195
emotion,anger,ad00_0004,301.1819072068555,288.8542328905518,81.60340624704973,78.21749531629519,293.21277632165084,370.4518860452226,3.235487528344671,2.449705215419501
emotion,fear,ad00_0004,356.64732397322086,358.1804034745808,63.33782603413338,64.3851067396362,266.2683383919623,229.9818040474556,2.6624716553287984,2.10140589569161
emotion,joy,ad00_0004,342.5229623550523,364.38403509668564,90.17073966827594,100.33395871672599,283.362612324398,281.62742941906515,2.28172335600907,1.8808163265306121
emotion,neutral,ad00_0004,224.15268056807926,218.26435793800258,35.623281191769514,34.6808453349767,120.32986780312203,122.49035288744423,1.9233786848072563,1.5905668934240362
emotion,sadness,ad00_0004,233.33773211133797,223.13226635775086,32.22806273284887,30.821337211019337,118.89836631744274,129.74432764525363,3.0632879818594105,1.9620861678004535
emotion,anger,ad01_0000,206.82639431603155,195.21649784608692,57.839642231850945,52.00274119928538,392.88092184347175,302.5552956802003,2.3525170068027212,1.9969160997732427
emotion,fear,ad01_0000,167.3000987060611,188.3599389942969,21.140930850979576,56.90906412595664,88.7896415019599,279.5536566368178,1.8070068027210884,1.5905668934240362
